v_products_model	v_products_price	v_products_quantity	v_tax_class_title	EOREOR	v_famille	v_sousfamille
1531	17.87	0	1	EOREOR	89	6
1532	20.86	0	1	EOREOR	89	6
1533	32.73	0	1	EOREOR	89	6
1534	20.49	0	1	EOREOR	89	6
1535	1.799520027638	9	1	EOREOR	20	11
1536	24.87	0	1	EOREOR	89	6
1537	1.637999939919	72	1	EOREOR	20	11
1550	36.05	0	1	EOREOR	89	6
1551	1.65	0	1	EOREOR	89	6
1562	3.331374847889	61	1	EOREOR	20	15
1565	17.85366000189	55	1	EOREOR	20	15
1567	17.363	24	1	EOREOR	20	15
1571	10.988	36	1	EOREOR	20	15
1586	4.480903124809	5	1	EOREOR	20	15
1588	4.38	0	1	EOREOR	89	6
1590	12.30990945816	1	1	EOREOR	20	21
1592	4.86	0	1	EOREOR	89	6
1595	6.72	0	1	EOREOR	89	6
1597	4.06	80	1	EOREOR	20	24
1598	3.4	120	1	EOREOR	20	24
1601	8.35	0	1	EOREOR	89	6
1602	6.91	0	1	EOREOR	89	6
1603	48.06	0	1	EOREOR	89	6
1604	53.67	0	1	EOREOR	89	6
1605	21.45	0	1	EOREOR	89	7
1606	21.45	0	1	EOREOR	89	7
1607	37.65	0	1	EOREOR	89	7
1608	28.4	0	1	EOREOR	89	6
1609	154.2	0	1	EOREOR	89	6
1610	13.96	0	1	EOREOR	89	6
1611	13.96	0	1	EOREOR	89	6
1612	4.92	0	1	EOREOR	89	6
1618	3.828527898789	-11	1	EOREOR	20	15
1631	4.202144980431	150	0	EOREOR	20	3
1632	1.316250032187	240	1	EOREOR	20	10
1649	1.936221051216	18	1	EOREOR	30	5
1650	1.936221051216	44	1	EOREOR	30	5
1666	1.99	108	1	EOREOR	40	1
1672	1.828676006794	521	1	EOREOR	30	5
1673	0.7	1398	1	EOREOR	40	21
1674	2.170840072632	66	1	EOREOR	40	1
1678	1.85	42	1	EOREOR	40	1
1679	0.98	-52	1	EOREOR	40	6
1680	0.97	769	1	EOREOR	40	6
1683	2	0	1	EOREOR	50	6
1684	2	0	1	EOREOR	50	6
1685	2	-2	1	EOREOR	50	6
1686	1.778895038366	-24	1	EOREOR	35	5
1687	2	0	1	EOREOR	50	6
1690	2	0	1	EOREOR	50	6
1691	2	0	1	EOREOR	50	6
1692	2	0	1	EOREOR	50	6
1693	2	0	1	EOREOR	50	6
1696	2	0	1	EOREOR	50	6
1721	0.952	2225	1	EOREOR	40	6
1725	0.95	1176	1	EOREOR	40	6
1726	1.301499983668	-4	1	EOREOR	40	11
1727	1.8	0	1	EOREOR	40	11
1728	2.708390287399	0	1	EOREOR	40	11
1730	3.587999987602	0	1	EOREOR	50	11
1740	0.999269977212	72	1	EOREOR	40	21
1741	0.73	-601	1	EOREOR	40	21
1742	0.7425000160933	2819	1	EOREOR	40	21
1743	0.7141499787569	360	1	EOREOR	40	21
1745	0.65	24	1	EOREOR	40	21
1746	0.7721000313759	1055	1	EOREOR	40	21
1750	0.6637399911881	821	1	EOREOR	40	21
1756	0.7052400290966	347	1	EOREOR	40	21
1761	0.3	6966	1	EOREOR	60	1
1762	0.235	16501	1	EOREOR	60	1
1766	0.895049983263	300	1	EOREOR	60	6
1767	0.749250009656	220	1	EOREOR	60	6
1768	2.727269899964	-2	1	EOREOR	60	6
1776	0.7141	30	1	EOREOR	40	21
1779	1.19	415	1	EOREOR	60	6
1780	0.87	800	1	EOREOR	60	6
1782	0.66	0	1	EOREOR	60	6
1783	0.9990000128746	17	1	EOREOR	60	6
1784	0.8590050369501	25	1	EOREOR	60	6
1785	0.875	100	1	EOREOR	60	6
1786	0.65	2113	1	EOREOR	60	11
1804	0.935	119	1	EOREOR	60	6
1805	42.4	65	1	EOREOR	80	1
