ID;CODE_PRODUIT;PRIX_TTC;STOCK;CODE_TVA;DISPO;ETAT;DESIGNATION;FABRIQUANT;CONTENANCE;DEGRE;CATEGORIE
1028;1028;4;0;2;both;1;BRUGSE ZOT BLONDE 75VP        ;BRASSERIE DE HALVE MAAN;75;6;0
1030;1030;4.18;0;2;both;1;CUVEE DES TROLLS TRIPLE 75VP  ;BRASSERIE DUBUISSON;75;7.5;0
1036;1036;1.97;23;2;both;1;PAIX DIEU TRIPLE 33VC X12     ;BRASSERIE CAULIER;33;10;10
1041;1041;123.6;0;2;both;1;PANNEAU MURAL PVC BLANC       ;;100;0;0
1042;1042;103.37;0;2;both;1;FLEXIBLE HP 1,5 M AVEC CABLE  ;;100;0;0
1050;1050;2.96;28;2;both;1;RATZ AMBREE 75VP              ;BRASSERIE RATZ;75;5;0
1051;1051;3;62;2;both;1;RATZ BLANCHE 75VP             ;BRASSERIE RATZ;75;5;0
1052;1052;2.96;48;2;both;1;RATZ BLONDE 75VP              ;BRASSERIE RATZ;75;5;0
1055;1055;5.18;60;2;both;1;ST BERNARDUS ABT 12 75VP      ;BRASSERIE SAINT BERNARD;75;10;12
1056;1056;4.42;0;2;both;1;ST FEUILLIEN GRAND CRU 75VP   ;BRASSERIE SAINT FEUILLIEN;75;9.5;0
1057;1057;5.27;35;2;both;1;STRAFFE HENDRIK QUADRUPLE 75VP;BRASSERIE DE HALVE MAAN;75;11;0
1059;1059;5.02;0;2;both;1;STRAFFE HENDRIK TRIPLE 75VP   ;BRASSERIE DE HALVE MAAN;75;9;0
1062;1062;4.09;380;2;both;1;MISTER B BAHIA GUAVA 20LK     ;MISTER B;100;4.4;9
1064;1064;16.68;17;2;both;1;MOINETTE BONS VOEUX 150VP     ;BRASSERIE DUPONT;150;9.5;11
1065;1065;1.85;288;2;both;1;MISTER B BESTIA IPA 33BTE     ;MISTER B;33;6.3;1
1067;1067;12.84;0;2;both;1;CHIMAY PREMIERE BLEUE 150VP   ;BRASSERIE DE CHIMAY SCOURMONT;150;9;0
1073;1073;11.57;6;2;both;1;LUPULUS TRIPLE KRUSH 150VP    ;BRASSERIE LUPULUS;150;8.5;10
1079;1079;1.85;133;2;both;1;MISTER B BAHIA GUAVA 33BTE    ;MISTER B;33;4.4;9
1080;1080;90.12;0;2;both;1;ADAPTATEUR RINCAGE U          ;;100;0;0
1084;1084;69.51;0;2;both;1;ST FEUILLIEN TRIPLE 900VC     ;BRASSERIE SAINT FEUILLIEN;900;8.5;10
1086;1086;1.95;-9;2;both;1;PRESSION 25CL A 3.50€         ;;25;0;0
1087;1087;3;-8;2;both;1;PRESSION 50CL A 6€            ;;50;0;0
1094;1094;2.5;-14;2;both;1; PRESSION SPEC 25CL À 4.50    ;;25;0;0
1095;1095;4.5;-27;2;both;1;PRESSION SPEC 50CL À 8.50     ;;50;0;0
1097;1097;153.66;0;2;both;1;TETE DE SOUTIRAGE U           ;;100;0;0
1121;1121;1.74;84;2;both;1;DE RANKE PERE NOEL 33VC       ;BRASSERIE DE RANKE;33;7;18
1123;1123;1.7;0;2;both;1;ST BERNARDUS XMAS 33VC        ;BRASSERIE SAINT BERNARD;33;10;18
1124;1124;1.19;0;2;both;1;ST FEUILLIEN NOEL 33VC        ;BRASSERIE SAINT FEUILLIEN;33;9;18
1134;1134;4.37;0;2;both;1;ST BERNARDUS XMAS 75VP  X6    ;BRASSERIE SAINT BERNARD;75;10;18
1141;1141;5.3;0;2;both;1;DUPONT MOINETTE BONS VOEUX 20L;BRASSERIE DUPONT;100;9.5;11
1152;1152;28;2;2;both;1;COGNAC GAUTIER VS 70CL        ;;70;40;0
1161;1161;3.54;0;2;both;1;ANGELUS BLONDE 75VP           ;BRASSERIE LEPERS;75;7;0
