ID;CODE_PRODUIT;LIBELLE;LIBELLE COMP.;FABRIQUANT;PRIX;ACCISE;CODE_TVA;UV_CAISSE;STOCK_UV;CONTENANCE;DEGRE;MARQUE;CONSIGNE_PAR_CONDITION_VENTE;CONDITION_VENTE;CATEGORIE
5636;5636;RHUM SANTIAGO DE CUBA 20A 70CL;AVEC ETUI;0;86.064;0;2;1;2;70;40;1;0;     ;0
5637;5637;LIQUEUR MANDARINE NAPOLEON 70C;;0;16;0;2;6;3;70;38;1;0;     ;0
5638;5638;RHUM DON PAPA BAROKO 70CL;VIEILLI FUTS CHENE AMERICAIN;0;29;0;2;6;4;70;40;1;0;     ;0
5655;5655;RHUM SECHA DE LA SILVA 70CL;CACAO COFFEE;0;26;0;2;6;0;70;40;1;0;     ;0
5659;5659;REFACTURATION CONS 12X75CL;;0;0.2;0;2;12;0;100;0;1;0;     ;0
5660;5660;REFACTURATION CONS 12X37.5CL;;0;0.2;0;2;12;0;100;0;1;0;     ;0
5669;5669;MAD SCIENT NEW YORK MOCA 30L K;MOCACCINO MILK STOUT;198;5.5;0.27192;2;30;150;100;6.6;1;0;5    ;8
5673;5673;PARTITION GOURMANDE;AU COMPTOIR;0;12.2728;0;4;1;0;100;0;1;0;     ;0
5695;5695;PRESSION 25CL PILS A 3€;AU COMPTOIR;0;1.6;0.0103;2;1;-15;25;0;1;0;     ;0
5696;5696;PRESSION 50CL PILS A 5€;AU COMPTOIR;0;2.5;0.0206;2;1;-7;50;0;1;0;     ;0
5697;5697;SIROP A L'EAU MENTHE GRENADINE;OU FRAISE;0;1;0.0891;4;1;-1;25;0;1;0;     ;0
5698;5698;VIN BLANC 12.5CL A 4€;AU COMPTOIR;0;3.3333;0;2;1;0;13;0;1;0;     ;0
5699;5699;VIN ROUGE 12,5CL A 4€;AU COMPTOIR;0;3.3333;0.00515;2;1;0;13;0;1;0;     ;0
5706;5706;ASAHI SUPER DRY 30L;LAGER;0;3.3041;0.412;2;30;0;100;5;1;30;1    ;7
5716;5716;TETE DE BELIER ROUGE 2022 75CL;CHATEAU PUECH-HAUT;217;21;0;2;6;26;75;15.5;1;0;     ;20
5717;5717;TETE DE BELIER ROSE 2024 75CL;CHATEAU PUECH-HAUT;217;13.6875;0;2;6;19;75;12.5;1;0;     ;21
5718;5718;TETE DE BELIER BLANC 2022 75CL;CHATEAU PUECH-HAUT;217;20.6;0;2;6;17;75;14.5;1;0;     ;22
5720;5720;DELIRIUM RED 30L;;40;4.3793;0.6592;2;30;780;100;8;1;30;1    ;14
5724;5724;IRON WILD MELISSE 33BTE;WILD ALE -COLLAB BLACK PROJECT;140;2.3367;0.0843;2;24;5;33;6.2;1;0;3    ;2
5733;5733;RHUM HAVANA CLUB 3 ANS 70CL;CUBA;0;14.25;0;2;6;13;70;37.5;1;0;     ;0
5743;5743;CHAT ST JULIEN ROSE 75CL;AOC COTEAUX VAROIS EN PROVENCE;228;6.996;0;2;6;117;75;13.5;1;0;     ;21
5744;5744;CHAT ST JULIEN BLANC 75CL;AOC COTEAUX VAROIS EN PROVENCE;228;7.6;0;2;6;34;75;13.5;1;0;     ;22
5745;5745;CHAT ST JULIEN ROUGE 75CL;AOC COTEAU VAROIS EN PROVENCE;228;9.2475;0;2;6;84;75;14;1;0;     ;20
5746;5746;EXCEPTION ST JULIEN ROSE 75CL;AOC COTEAUX VAROIS EN PROVENCE;0;9.815;0;2;6;29;75;13.5;1;0;     ;21
5793;5793;CALAVERA CUVEE 37.5VP;SOUR;193;3.6507;0.13905;2;12;5;38;9;1;0;3    ;2
5800;5800;LA DEBAUCHE NEVERMORE 20L K;IMP STOUT;191;4.8385;0.3914;2;20;80;100;9.5;1;0;5    ;5
5801;5801;VICARIS TRIPLE 33VC;;220;1.5264;0.11557;2;24;48;33;8.5;1;7;3    ;10
5806;5806;MERE NOEL 33VC;;40;1.7376;0.11557;2;24;0;33;8.5;0;7;2    ;7
5809;5809;LUPULUS HIBERNATUS 75VC;BRUNE;10;3.3538;0.29355;2;12;48;75;9.5;1;4.5;2    ;12
5825;5825;YPERMAN 30L;AMBREE;13;2.93;0.2266;2;30;420;100;5.5;1;30;1    ;0
5830;5830;CHIPS AU POIVRE NOIR 125G;ARTISANALES CUITES AU CHAUDRON;0;2.0385;0;3;20;0;100;0;1;0;3    ;0
5831;5831;CHIPS A LOIGNON 125G;ARTISANALES CUITES AU CHAUDRON;0;2.0655;0;3;20;20;100;0;1;0;3    ;0
