ID;CODE_PRODUIT;LIBELLE;LIBELLE COMP.;FABRIQUANT;PRIX;ACCISE;CODE_TVA;UV_CAISSE;STOCK_UV;CONTENANCE;DEGRE;MARQUE;CONSIGNE_PAR_CONDITION_VENTE;CONDITION_VENTE;CATEGORIE
368;368;LA CLEF DU VIN TRAVEL PEUGEOT;;0;37.0375;0;2;1;1;100;0;1;0;     ;0
369;369;CARAFE PICPOUL BEC BISEAUTE;POSITION DROITE INCLINEE;0;25.1;0;2;1;2;100;0;1;0;     ;0
370;370;VERRE ESPRIT 180 MERLOT 40CL;PEUGEOT 1 PIECE;0;8.55;0;2;1;8;100;0;1;0;     ;0
379;379;GRAVES CH. BOYREIN BLANC 75CL;;0;6.54;0;2;6;0;75;12.5;1;0;     ;22
388;388;MAGIE D'UNE TERRE ROSE 75CL;COTES DU RHONE AOP  PROMO;0;3.185;0;2;6;11;75;12.5;1;0;     ;21
389;389;CH BEGADAN 2015 RGE 75CL;MDC RECOLTANT/MED OR + ARGENT;0;8.125;0;2;6;4;75;13;1;0;     ;20
395;395;DÉTENDEURS INTERM 3 SORTIES;VANNE MICRO MATIC GUEST 3/8;0;106.11;0;2;1;-9;100;0;1;0;     ;0
396;396;DETENDEUR PRINC AP.GAUCHE;1 SORTIE GUEST AVEC VANNE;0;135.1;0;2;1;-1;100;0;1;0;     ;0
404;404;EFFET PAP IMP STOUT BIO 33VP;;199;2.1963;0.11821;2;24;-1;33;9;1;0;3    ;5
405;405;EFFET PAPILLON IPA 75VP;BIO;199;3.939;0.1791;2;6;63;75;6;1;0;3    ;1
407;407;EFFET PAP PALE ALE 33VP;BIO;199;1.9787;0.07224;2;12;102;33;5.5;1;0;3    ;8
408;408;GROUPE OCCASION;;0;1471.35;0;2;1;-2;100;0;1;0;     ;0
411;411;TERRAE VERITAS BLANC DOUX 75CL;VIGNE LOURAC / AOC GAILLAC;0;5.46;0;2;6;16;75;13.5;1;0;     ;23
412;412;TERRAE VERITAS BLANC SEC 75CL;VIGNE LOURAC / AOC GAILLAC;0;4.355;0;2;6;2;75;12;1;0;     ;22
413;413;TERRAE VERITAS ROUGE 75CL;VIGNE LOURAC / AOC GAILLAC;0;4.29;0;2;6;-8;75;13;1;0;     ;20
415;415;ADAPTATEUR RINCAGE TETE CREUSE;AVEC VANNE SANS CLAPET;0;76.7;0;2;1;0;100;0;1;0;     ;0
418;418;DAMIENS PACH V BLANC SEC 75CL;AOP BIO;0;6.734;0;2;6;6;75;13.5;1;0;     ;22
423;423;FROID SEC 1 TIRAGE 1/3CV 70L/H;COMPRESSEUR AUTO / TETE EN SUS;0;1690;0;2;1;0;100;0;1;0;     ;0
432;432;GROUPE FC LINE CONV 70 -1/2CV;4 X 25 M + 1 X 10 M;0;1471.35;0;2;1;0;100;0;1;0;     ;0
434;434;LONGUEROCHE TRADITION RGE 75CL;AOC CORBIERES;226;6.3;0;2;6;30;75;13;1;0;     ;20
435;435;LONGUEROCHE ROSE AOC 75CL;PRIX SPECIAL;0;4.86;0;2;6;10;75;12.5;1;0;     ;21
436;436;LONGUEROCHE C RAOUL RGE 75CL;AOC CORBIERES;226;15.4575;0;2;6;19;75;13.5;1;0;     ;20
437;437;LONGUEROCHE C RESERVEE RG 75CL;AOC CORBIERES;226;8.4375;0;2;6;3;75;13;1;0;     ;20
438;438;BIB 10L FUT CHENE ROUGE;;226;32.37;0;2;1;24;1000;12.5;1;0;4    ;20
439;439;BIB 10L TRADITION ROUGE 12°5;;226;24.57;0;2;1;0;1000;12.5;1;0;4    ;20
440;440;BIB 5L FUT CHENE ROUGE;;226;19.37;0;2;1;25;500;12.5;1;0;4    ;20
