v_products_model	v_products_price	v_products_quantity	v_tax_class_title	EOREOR	v_famille	v_sousfamille
415	76.7	0	1	EOREOR	89	7
418	6.733999919891	0	1	EOREOR	10	63
423	1690	0	1	EOREOR	89	7
429	9.855000257492	1	1	EOREOR	10	69
432	1471.35	0	1	EOREOR	89	6
434	6.3	76	1	EOREOR	10	69
435	4.86	-2	1	EOREOR	10	69
436	15.45749974251	5	1	EOREOR	10	69
437	8.5	51	1	EOREOR	11	69
438	32.36999950409	21	1	EOREOR	11	69
439	24.56999950409	6	1	EOREOR	11	69
440	19.36999950409	13	1	EOREOR	11	69
441	14.16999950409	6	1	EOREOR	10	70
478	5.8	0	1	EOREOR	10	87
479	10.95	17	1	EOREOR	1	47
481	12.036	1	1	EOREOR	1	41
483	26.22100009918	5	1	EOREOR	10	90
485	8.1	12	1	EOREOR	10	90
510	3.85	30	1	EOREOR	20	1
522	2.85	480	1	EOREOR	20	1
523	2.78	1560	1	EOREOR	20	1
525	2.14	1560	1	EOREOR	20	1
528	3.15	450	1	EOREOR	20	1
535	3.84	1400	1	EOREOR	20	2
549	3.05	720	1	EOREOR	20	1
557	3.252540066242	0	1	EOREOR	20	1
558	4.1	1680	1	EOREOR	20	2
560	4.628273887634	0	0	EOREOR	20	2
561	3.8	260	1	EOREOR	20	2
573	3.75	2280	0	EOREOR	20	2
583	4.602236956358	20	1	EOREOR	20	2
590	4.134536132813	0	1	EOREOR	20	2
603	1.909040021896	224	1	EOREOR	20	8
604	1.437099981308	293	1	EOREOR	20	8
605	1.357860016823	162	1	EOREOR	20	8
610	1.570939993858	99	1	EOREOR	20	8
611	1.186500036717	483	1	EOREOR	20	8
612	1.186500036717	507	1	EOREOR	20	8
614	0.9928800344467	288	1	EOREOR	20	8
622	1.228780043125	375	1	EOREOR	20	8
625	1.027179968357	82	1	EOREOR	20	8
627	0.9489199995995	216	1	EOREOR	20	8
633	1.573476026058	-1	0	EOREOR	20	9
642	1.630607964993	82	1	EOREOR	20	9
644	1.834434063435	125	1	EOREOR	20	9
647	1.540000033379	59	1	EOREOR	20	9
658	1.078420042992	129	1	EOREOR	20	9
659	1.379699969292	106	1	EOREOR	20	9
663	1.546014075279	0	1	EOREOR	20	9
664	1.502339959145	0	1	EOREOR	20	9
665	1.699459958077	106	1	EOREOR	20	9
669	1.61846408844	54	1	EOREOR	20	9
670	1.59169208765	66	1	EOREOR	20	9
672	1.602580070496	75	1	EOREOR	20	9
673	1.579961950779	162	1	EOREOR	20	9
674	1.719480071068	67	1	EOREOR	20	9
677	1.768469974995	0	1	EOREOR	20	9
679	1.768469974995	21	1	EOREOR	20	9
681	1.558157951832	0	1	EOREOR	20	9
699	1.64835999012	356	1	EOREOR	20	9
701	1.488330044746	10	1	EOREOR	20	9
706	2.259599947929	73	1	EOREOR	20	9
710	1.220379984379	5	1	EOREOR	20	9
714	1.768340039253	117	1	EOREOR	20	9
726	1.601039981842	260	1	EOREOR	20	9
729	1.540908050537	208	1	EOREOR	20	9
732	1.684199929237	314	1	EOREOR	20	9
734	1.359679985046	127	1	EOREOR	20	9
735	1.371860003471	90	1	EOREOR	20	9
736	1.7112200737	136	1	EOREOR	20	9
746	2.086146047115	192	1	EOREOR	20	9
747	1.373960018158	79	1	EOREOR	20	9
748	1.692319941521	163	1	EOREOR	20	9
751	1.997964055538	119	1	EOREOR	20	9
752	1.244039988518	53	1	EOREOR	20	9
753	1.935500073433	142	1	EOREOR	20	9
756	1.594865956307	211	1	EOREOR	20	9
757	1.430922060013	177	1	EOREOR	20	9
759	1.770408017635	4	1	EOREOR	20	22
762	1.85010008812	117	1	EOREOR	20	9
764	1.887702019215	240	1	EOREOR	20	9
765	2.063927979469	114	1	EOREOR	20	9
782	1.349639979601	146	1	EOREOR	20	9
783	1.67187006712	129	1	EOREOR	20	9
785	1.664694027901	164	1	EOREOR	20	9
786	1.501499986649	204	1	EOREOR	20	9
788	1.666560006142	151	1	EOREOR	20	9
789	1.657880067825	136	1	EOREOR	20	9
790	1.789760088921	141	1	EOREOR	20	9
792	1.484139943123	253	1	EOREOR	20	9
797	7.311941285133	25	1	EOREOR	20	14
799	8.653	0	1	EOREOR	20	10
806	7.003	0	1	EOREOR	20	10
812	1.88972992301	112	1	EOREOR	20	10
820	2.292653925419	32	1	EOREOR	20	10
866	1.43531999588	89	1	EOREOR	20	10
867	1.43531999588	95	1	EOREOR	20	10
868	1.431479033232	145	1	EOREOR	20	10
870	1.462184947729	2	1	EOREOR	20	22
871	2.227959	-1	0	EOREOR	20	10
872	1.43531999588	0	1	EOREOR	20	10
873	1.816707	128	1	EOREOR	20	10
874	1.854190063477	196	1	EOREOR	20	10
875	2.16160004139	-12	1	EOREOR	20	10
877	1.673864990473	288	1	EOREOR	20	10
887	2.500540041924	57	1	EOREOR	20	12
888	2.286899971962	1182	1	EOREOR	20	12
890	4.529979848862	100	0	EOREOR	20	12
891	2.450699949265	71	1	EOREOR	20	12
892	1.920375019312	82	1	EOREOR	20	10
895	4.07708407402	23	1	EOREOR	20	12
899	2.46945602417	0	1	EOREOR	20	12
936	1.83126003027	140	1	EOREOR	20	11
937	6.84	0	1	EOREOR	10	93
938	7.392	20	0	EOREOR	20	2
947	7.2	2	1	EOREOR	10	92
949	5.67	3	1	EOREOR	10	92
951	3.022061891556	24	1	EOREOR	20	14
952	2.570539975166	68	1	EOREOR	20	14
953	3.987760162354	660	1	EOREOR	20	14
954	5.67	0	1	EOREOR	10	92
955	4.79006985426	59	1	EOREOR	20	15
962	7.687710142136	1	1	EOREOR	20	15
963	10.24946973324	-2	1	EOREOR	20	15
966	5.810105309486	-6	1	EOREOR	20	15
967	5.938278150559	12	1	EOREOR	20	15
975	4.620377926827	20	1	EOREOR	20	14
977	6.265	1	1	EOREOR	20	14
978	2.659999966621	72	1	EOREOR	20	14
980	5.85	0	1	EOREOR	10	92
982	2.659999966621	36	1	EOREOR	20	14
983	4.670160140991	2	1	EOREOR	20	15
985	3.289	12	1	EOREOR	20	14
991	5.85	2	1	EOREOR	10	92
993	3.794447908402	5	1	EOREOR	20	15
995	3.6	131	1	EOREOR	10	5
996	3.54606013298	154	1	EOREOR	20	14
997	3.560060119629	53	1	EOREOR	20	14
1000	3.965360116959	96	1	EOREOR	20	14
1001	3.523380041122	71	1	EOREOR	20	14
1002	3.173447842598	0	1	EOREOR	20	14
1004	3.556699895859	124	1	EOREOR	20	14
1006	7.2	19	1	EOREOR	10	94
1010	5.49	0	1	EOREOR	11	99
1011	2.886520004273	431	1	EOREOR	20	14
1012	4.085100030899	28	1	EOREOR	20	15
1028	4.001171951294	-3	1	EOREOR	20	15
1030	4.181625115871	36	1	EOREOR	20	15
1036	1.897559952736	170	1	EOREOR	20	9
1038	3.05	420	0	EOREOR	20	2
1041	123.6	0	1	EOREOR	89	7
1042	103.37	0	1	EOREOR	89	6
1050	2.958984146118	30	1	EOREOR	20	15
1051	2.958984146118	41	1	EOREOR	20	15
1052	2.958984146118	120	1	EOREOR	20	15
1054	4.37920003891	120	0	EOREOR	20	2
1055	4.819769954681	18	1	EOREOR	20	15
1056	4.415580153465	29	1	EOREOR	20	15
1057	5.265470147133	61	1	EOREOR	20	15
1059	5.022095961571	11	1	EOREOR	20	15
1062	4.09359998703	0	1	EOREOR	20	2
1064	16.68424472809	23	1	EOREOR	20	16
1065	1.846665018797	144	1	EOREOR	20	25
1067	12.84452996924	0	1	EOREOR	20	16
1073	11.56820383072	5	1	EOREOR	20	16
1074	15.13498449326	8	0	EOREOR	20	16
1079	1.847204947472	36	1	EOREOR	20	25
1080	90.12	0	1	EOREOR	89	7
1084	69.50566585541	0	1	EOREOR	20	19
1086	1.95	-112	1	EOREOR	20	20
1087	3	-67	1	EOREOR	20	20
1094	2.5	-211	1	EOREOR	20	20
1095	4.5	-248	1	EOREOR	20	20
1097	153.66	0	1	EOREOR	89	7
1103	11.01763054848	0	1	EOREOR	20	21
1121	1.73851993084	144	1	EOREOR	20	22
1122	4.875359916687	24	1	EOREOR	20	23
1123	1.702202041149	0	1	EOREOR	20	22
1124	1.186837983131	2	1	EOREOR	20	22
1132	8.75	0	1	EOREOR	1	2
1134	4.36760995388	33	1	EOREOR	20	23
1152	28	8	1	EOREOR	1	32
1161	3.538484930992	12	1	EOREOR	20	15
1163	6.74	0	1	EOREOR	89	6
1168	2.041334974766	122	1	EOREOR	20	25
1170	2.20221397996	168	1	EOREOR	20	25
1187	3.053	12	1	EOREOR	20	10
1203	8.2	2	1	EOREOR	1	8
1207	1.587739944458	257	1	EOREOR	20	9
1222	3.825	0	1	EOREOR	20	13
1232	1.770019984245	190	1	EOREOR	20	9
1233	2.041334974766	46	1	EOREOR	20	25
1242	12.9	0	1	EOREOR	1	84
1245	1.563659954071	350	1	EOREOR	20	9
1253	2.41	0	1	EOREOR	20	1
1263	3.11	2400	1	EOREOR	20	1
1264	4.27	600	1	EOREOR	20	1
1270	7.53	20	1	EOREOR	20	2
1272	1113	0	1	EOREOR	89	6
1274	990.57	0	1	EOREOR	89	6
1277	51.5	3	1	EOREOR	89	7
1279	2.87	1170	1	EOREOR	20	1
1280	49.92	0	1	EOREOR	89	7
1282	434.69	0	1	EOREOR	89	6
1286	3.255000066757	0	1	EOREOR	20	1
1287	2.92	-150	1	EOREOR	20	1
1292	2.36	0	1	EOREOR	89	6
1293	157.28	0	1	EOREOR	89	6
1294	152.7	0	1	EOREOR	89	6
1295	89	0	1	EOREOR	89	6
1296	0.6	0	1	EOREOR	89	6
1297	658	0	1	EOREOR	89	6
1298	682	0	1	EOREOR	89	6
1300	4.65	20	1	EOREOR	20	2
1311	3.941418113709	20	1	EOREOR	20	2
1325	4.2	0	1	EOREOR	20	3
1327	3.880240011215	0	1	EOREOR	20	3
1330	3.85	0	1	EOREOR	20	3
1334	22.35	0	1	EOREOR	20	4
1339	23.6	22	1	EOREOR	20	4
1342	22.65	21	1	EOREOR	20	4
1343	24.85	118	1	EOREOR	20	4
1347	28.6	0	1	EOREOR	20	4
1349	29.2	0	1	EOREOR	20	4
1350	21.1	0	1	EOREOR	20	4
1354	23.75	36	1	EOREOR	20	4
1359	3.117449998856	0	1	EOREOR	20	1
1360	0.8314600348473	0	1	EOREOR	20	8
1366	0.8291919791699	10	1	EOREOR	20	8
1372	74	0	1	EOREOR	20	6
1378	24.05	24	1	EOREOR	20	4
1379	27.05	16	1	EOREOR	20	4
1380	4.059770011902	0	1	EOREOR	20	1
1384	2.9	0	1	EOREOR	20	1
1385	3.397835898399	-40	1	EOREOR	20	2
1389	4.248875081539	0	1	EOREOR	20	3
1391	1.876559972763	170	1	EOREOR	20	9
1400	1.189652007987	3	1	EOREOR	20	9
1401	1.258040058613	239	1	EOREOR	20	9
1402	1.412320041657	180	1	EOREOR	20	9
1403	1.710785944462	0	1	EOREOR	20	9
1404	1.11780000329	97	0	EOREOR	20	9
1406	2.008728032112	120	1	EOREOR	20	9
1407	1.523060059547	3	1	EOREOR	20	9
1411	1.481480002403	157	1	EOREOR	20	9
1412	1.505166041851	48	1	EOREOR	20	9
1413	1.421814029217	83	1	EOREOR	20	9
1418	1.142553007689	0	1	EOREOR	20	9
1439	1.317	0	1	EOREOR	20	10
1442	28.86	0	1	EOREOR	89	6
1443	19.2	0	1	EOREOR	89	6
1444	47.38	0	1	EOREOR	89	6
1454	393.33	0	1	EOREOR	89	6
1458	58.34	0	1	EOREOR	89	6
1460	34.93	0	1	EOREOR	89	6
1461	70.04	0	1	EOREOR	89	6
1463	24.16	0	1	EOREOR	89	6
1467	1.124819970131	83	1	EOREOR	20	10
1468	1.252125012875	232	1	EOREOR	20	10
1469	1.880685031414	227	1	EOREOR	20	10
1484	0.7376400142908	288	1	EOREOR	20	25
1485	0.6612300083041	335	1	EOREOR	20	25
1505	1.761200022697	57	1	EOREOR	20	11
1506	1.786400032044	118	1	EOREOR	20	11
1507	1.786400032044	351	1	EOREOR	20	11
1509	1.786400032044	248	1	EOREOR	20	11
1517	1.763999986649	73	1	EOREOR	20	11
1524	1.805225994587	127	1	EOREOR	20	10
1528	1.602999973297	88	1	EOREOR	20	11
1531	17.87	0	1	EOREOR	89	6
1532	20.86	0	1	EOREOR	89	6
1533	32.73	0	1	EOREOR	89	6
1534	20.49	0	1	EOREOR	89	6
1535	1.799520027638	99	1	EOREOR	20	11
1536	24.87	0	1	EOREOR	89	6
1537	1.637999939919	233	1	EOREOR	20	11
1541	1.4	5	0	EOREOR	20	11
1545	1.752599973679	0	1	EOREOR	20	11
1549	1.4	24	0	EOREOR	20	11
1550	36.05	0	1	EOREOR	89	6
1551	1.65	0	1	EOREOR	89	6
1562	3.170549855232	145	1	EOREOR	20	15
1565	17.85366000189	55	1	EOREOR	20	15
1567	17.363	24	1	EOREOR	20	15
1571	10.988	20	1	EOREOR	20	15
1586	4.480903124809	13	1	EOREOR	20	15
1588	4.38	0	1	EOREOR	89	6
1590	12.30990945816	2	1	EOREOR	20	21
1592	4.86	0	1	EOREOR	89	6
1595	6.72	0	1	EOREOR	89	6
1597	4.06	80	1	EOREOR	20	24
1598	3.4	210	1	EOREOR	20	24
1601	8.35	0	1	EOREOR	89	6
1602	6.91	0	1	EOREOR	89	6
1603	48.06	0	1	EOREOR	89	6
1604	53.67	0	1	EOREOR	89	6
1605	21.45	0	1	EOREOR	89	7
1606	21.45	0	1	EOREOR	89	7
1607	37.65	0	1	EOREOR	89	7
1608	28.4	0	1	EOREOR	89	6
1609	154.2	0	1	EOREOR	89	6
1610	13.96	0	1	EOREOR	89	6
1611	13.96	0	1	EOREOR	89	6
1612	4.92	0	1	EOREOR	89	6
1618	3.828527898789	15	1	EOREOR	20	15
1631	3.15	150	1	EOREOR	20	3
1632	1.316250032187	0	1	EOREOR	20	10
1649	1.76	18	1	EOREOR	30	5
1650	1.65	26	1	EOREOR	30	5
1663	11.18749976158	0	1	EOREOR	20	15
1665	12.22912549973	0	1	EOREOR	20	15
1666	1.661879968643	133	1	EOREOR	40	1
1669	9.05212521553	0	1	EOREOR	20	15
1672	1.801844984293	-48	1	EOREOR	30	5
1673	0.6783749967814	1346	1	EOREOR	40	21
1674	1.7248	54	1	EOREOR	40	1
1676	2.579040044546	0	1	EOREOR	30	5
1677	3.075468034744	0	0	EOREOR	30	5
1678	1.85	59	1	EOREOR	40	1
1679	0.9	370	1	EOREOR	40	6
1680	0.9	1851	1	EOREOR	40	6
1681	4.189	0	1	EOREOR	35	1
1683	2	0	1	EOREOR	50	6
1684	2	0	1	EOREOR	50	6
1685	2	-2	1	EOREOR	50	6
1686	1.778895038366	88	1	EOREOR	35	5
1687	2	0	1	EOREOR	50	6
1690	2	0	1	EOREOR	50	6
1691	2	0	1	EOREOR	50	6
1692	2	0	1	EOREOR	50	6
1693	2	0	1	EOREOR	50	6
1696	2	0	1	EOREOR	50	6
1721	0.9388800144196	1438	1	EOREOR	40	6
1725	0.95	716	1	EOREOR	40	6
1726	2.70236996609	-72	1	EOREOR	40	11
1727	1.8	0	1	EOREOR	40	11
1728	2.708390287399	-8	1	EOREOR	40	11
1730	3.587999987602	0	1	EOREOR	50	11
1739	11.18749976158	0	1	EOREOR	20	15
1740	0.999269977212	144	1	EOREOR	40	21
1741	0.7360199868679	-260	1	EOREOR	40	21
1742	0.7425000160933	1694	1	EOREOR	40	21
1743	0.65	264	1	EOREOR	40	21
1745	0.62	-24	1	EOREOR	40	21
1746	0.6368039983511	236	1	EOREOR	40	21
1750	0.65	237	1	EOREOR	40	21
1756	0.8	133	1	EOREOR	40	21
1761	0.3	6415	1	EOREOR	60	1
1762	0.235	23049	1	EOREOR	60	1
1766	0.895049983263	1090	1	EOREOR	60	6
1767	0.72	100	1	EOREOR	60	6
1768	2.727269899964	-7	1	EOREOR	60	6
1776	0.715094974637	-211	1	EOREOR	40	21
1779	1.179224985838	1038	1	EOREOR	60	6
1780	0.8557649821043	1998	1	EOREOR	60	6
1782	0.66	0	1	EOREOR	60	6
1783	0.8748999714851	184	1	EOREOR	60	6
1784	0.6997760009766	72	1	EOREOR	60	6
1785	0.81	60	1	EOREOR	60	6
1786	0.65	138	1	EOREOR	60	11
1804	0.73	20	1	EOREOR	60	6
1805	31.5	113	1	EOREOR	80	1
1806	36	7	1	EOREOR	80	1
1811	17	-5	1	EOREOR	85	1
1812	14	0	1	EOREOR	85	6
1813	2.39	0	1	EOREOR	85	6
1816	4.55	0	1	EOREOR	85	11
1835	4.67	25	1	EOREOR	87	1
1837	8.274999856949	0	1	EOREOR	87	1
1841	2.55	2	1	EOREOR	87	1
1851	17	-40	1	EOREOR	85	1
1856	1.9	108	1	EOREOR	40	1
1858	1.900043312049	101	1	EOREOR	40	1
1859	4.407422262263	0	1	EOREOR	87	11
1860	4.4074	0	1	EOREOR	87	11
1861	4.407621544075	0	1	EOREOR	87	11
1863	3.63	-7	1	EOREOR	99	1
1866	9.763	0	1	EOREOR	87	11
1868	0.9315000027418	132	1	EOREOR	87	16
1872	4.9	42	1	EOREOR	87	16
1884	16.64	0	1	EOREOR	87	16
1885	16.64	0	1	EOREOR	87	16
1892	10.79	0	1	EOREOR	87	15
1902	2.027999925613	20	1	EOREOR	87	16
1904	2.37900005579	11	1	EOREOR	87	16
1917	2.5	0	1	EOREOR	87	16
1924	1.428000068665	90	1	EOREOR	87	16
1925	1.8	181	1	EOREOR	87	16
1932	2.344186858821	-1	1	EOREOR	87	26
1933	2.386229891634	-4	1	EOREOR	87	26
1934	1.636271929562	-1	1	EOREOR	87	26
1935	2.09988245635	0	1	EOREOR	87	26
1936	4.023638174295	0	1	EOREOR	87	26
1937	3.363448043346	0	1	EOREOR	87	26
1938	1.662406967187	-8	1	EOREOR	87	26
1939	0.01136299974602	0	1	EOREOR	87	26
1941	2.2726	227	1	EOREOR	87	26
1942	1.988525	0	1	EOREOR	87	26
1943	2.886201956654	-133	1	EOREOR	87	26
1944	7.747293217945	0	1	EOREOR	87	26
1945	2	1068	1	EOREOR	87	26
1946	0.01136299974602	0	1	EOREOR	87	26
1947	1.522642037928	-12	1	EOREOR	87	26
1948	2.016932472909	-6	1	EOREOR	87	26
1949	2.011250978327	-6	1	EOREOR	87	26
1950	2.386229891634	6	1	EOREOR	87	26
1951	1.602182962072	0	1	EOREOR	87	26
1952	1.011306983745	0	1	EOREOR	87	26
1953	1.17038896749	0	1	EOREOR	87	26
1957	2.2	-36	1	EOREOR	87	26
1958	2.453271608973	-24	1	EOREOR	87	26
1959	0.4499747975618	-48	1	EOREOR	87	26
1960	1.398785239315	-18	1	EOREOR	87	26
1966	1.988525	0	1	EOREOR	87	26
1967	3.136187989163	-24	1	EOREOR	87	26
1968	2.055566717339	-138	1	EOREOR	87	26
1970	0.943128981036	0	1	EOREOR	87	26
1973	2.037385880494	18	1	EOREOR	87	26
1976	1.865804554486	6	1	EOREOR	87	26
1978	2.028295462072	0	1	EOREOR	87	26
1979	2.028295462072	12	1	EOREOR	87	26
1980	2.055566717339	-12	1	EOREOR	87	26
1981	2.52258603251	-12	1	EOREOR	87	26
1982	1.806717037928	-26	1	EOREOR	87	26
1983	3.127097706199	-30	1	EOREOR	87	26
1984	0.01136299974602	0	1	EOREOR	87	26
1985	0.01136299974602	0	1	EOREOR	87	26
1987	0.01136299974602	0	1	EOREOR	87	26
1988	2.59076396749	-15	1	EOREOR	87	26
1989	2.215785054183	-30	1	EOREOR	87	26
1990	2.441908619809	-24	1	EOREOR	87	26
1992	2.779389912701	0	1	EOREOR	87	26
1993	1.981707152319	-115	1	EOREOR	87	26
1994	2.629398076463	-6	1	EOREOR	87	26
1995	3.97705	120	1	EOREOR	87	26
1996	3.861147402167	0	1	EOREOR	87	26
1997	2.563492847681	-78	1	EOREOR	87	26
1998	1.999887989163	0	1	EOREOR	87	26
1999	4.1667	-19	1	EOREOR	87	26
2000	1.6667	3	1	EOREOR	87	26
2001	2.783935054183	-53	1	EOREOR	87	26
2002	2.266918505418	0	1	EOREOR	87	26
2003	0.001136300053971	-18	1	EOREOR	87	26
2004	2.16919674443	0	1	EOREOR	87	26
2005	1	24	1	EOREOR	87	26
2006	2.011250978327	-2	1	EOREOR	87	26
2007	0.01136299974602	0	1	EOREOR	87	26
2008	1.5	156	1	EOREOR	87	26
2009	3.066873565626	0	1	EOREOR	87	26
2010	1.162434902167	-6	1	EOREOR	87	26
2011	1.479462652016	0	1	EOREOR	87	26
2012	2.215785054183	-1	1	EOREOR	87	26
2013	2.215785054183	-6	1	EOREOR	87	26
2014	2.554402293801	0	1	EOREOR	87	26
2015	2.499860054183	0	1	EOREOR	87	26
2016	2.76689043498	48	1	EOREOR	87	26
2017	0.9988077092111	0	1	EOREOR	87	26
2018	1.930573701084	0	1	EOREOR	87	26
2019	1.104483603251	-6	1	EOREOR	87	26
2020	1.409012010837	-42	1	EOREOR	87	26
2021	1.1363	-12	1	EOREOR	87	26
2022	1.409012010837	-60	1	EOREOR	87	26
2023	1.318107962072	-12	1	EOREOR	87	26
2024	2.310097891331	6	1	EOREOR	87	26
2025	13.54469608669	-1	1	EOREOR	87	26
2026	1.662406967187	-12	1	EOREOR	87	26
2027	1.334016228175	0	1	EOREOR	87	26
2028	0.01136299974602	0	1	EOREOR	87	26
2029	0.01136299974602	-6	1	EOREOR	87	26
2030	2.180559733594	-7	1	EOREOR	87	26
2031	2.299871119809	0	1	EOREOR	87	26
2032	1.797626619506	0	1	EOREOR	87	26
2033	0.01136299974602	0	1	EOREOR	87	26
2034	2.596445597529	0	1	EOREOR	87	26
2035	2.010114760685	0	1	EOREOR	87	26
2036	2.429409413004	0	1	EOREOR	87	26
2037	0.01136299974602	606	1	EOREOR	87	26
2038	2.328278728175	-42	1	EOREOR	87	26
2039	1.5	-480	1	EOREOR	87	26
2040	1.5	-192	1	EOREOR	87	26
2041	2.281690282965	0	1	EOREOR	87	26
2042	2.281690282965	0	1	EOREOR	87	26
2043	1.1363	-24	1	EOREOR	87	26
2044	2.2726	-12	1	EOREOR	87	26
2045	0.9544919701994	0	1	EOREOR	87	26
2046	1.588547402167	0	1	EOREOR	87	26
2047	2.398729369354	-7	1	EOREOR	87	26
2048	2.373730684829	0	1	EOREOR	87	26
2049	0.001136300053971	0	1	EOREOR	87	26
2050	1.924892206502	-7	1	EOREOR	87	26
2051	0.01136299974602	-4	1	EOREOR	87	26
2052	1.933982624924	-18	1	EOREOR	87	26
2053	2.287371913004	-18	1	EOREOR	87	26
2054	3.127097706199	-30	1	EOREOR	87	26
2055	1.41696607616	0	1	EOREOR	87	26
2056	2.215785054183	0	1	EOREOR	87	26
2057	0.01136299974602	0	1	EOREOR	87	26
2058	0.01136299974602	0	1	EOREOR	87	26
2059	0.7874559211314	-5	1	EOREOR	87	26
2060	0.7874559211314	0	1	EOREOR	87	26
2061	1.30901754365	0	1	EOREOR	87	26
2062	1.990797570741	360	1	EOREOR	87	26
2063	1.70445	-24	1	EOREOR	87	26
2064	3.148687195969	-75	1	EOREOR	87	26
2065	2.462362162852	-209	1	EOREOR	87	26
2066	2.145334413004	-7	1	EOREOR	87	26
2067	2.145334413004	0	1	EOREOR	87	26
2068	2.145334413004	-9	1	EOREOR	87	26
2069	2.145334413004	-4	1	EOREOR	87	26
2070	2.145334413004	0	1	EOREOR	87	26
2071	4.212264119506	-122	1	EOREOR	87	26
2072	4.21794547863	24	1	EOREOR	87	26
2073	0.01136299974602	0	1	EOREOR	87	26
2074	1.708995141482	-10	1	EOREOR	87	26
2075	1.680587668574	-6	1	EOREOR	87	26
2076	1.852168994582	0	1	EOREOR	87	26
2077	1.990797570741	0	1	EOREOR	87	26
2078	1.818080027092	0	1	EOREOR	87	26
2079	1.124937010837	-324	1	EOREOR	87	26
2080	2.045339945817	-186	1	EOREOR	87	26
2081	1.409012010837	-284	1	EOREOR	87	26
