ID;CODE_PRODUIT;PRIX_TTC;STOCK;CODE_TVA;DISPO;ETAT;DESIGNATION;FABRIQUANT;CONTENANCE;DEGRE;CATEGORIE
2176;2176;41.67;-7;2;both;1;LOCATION TENTE ABRI FACIL 3X3 ;;100;0;0
2177;2177;47.5;0;2;both;1;LOCATION 1 KIT DE 2 LIAISONS  ;;100;0;0
2178;2178;0.36;0;2;both;1;SAC ESPERANCE KRAFT 3 BLLES   ;;100;0;0
2179;2179;8.45;-1;2;both;1;COFF CALENDRIER AVENT BIERES  ;;100;0;0
2180;2180;2;6;2;both;1;VERRE SAISON DUPONT 25/33CL   ;;100;0;0
2181;2181;8.33;9;2;both;1;BACHE PUBLICITAIRE            ;;100;0;0
2182;2182;10;0;2;both;1;POLO PUBLICITAIRE             ;;100;0;0
2183;2183;8;-1;2;both;1;T SHIRT PUBLICITAIRE          ;;100;0;0
2184;2184;4;0;2;both;1;VERRE MEAN SARDINE 30CL       ;;100;0;0
2185;2185;1;12;2;both;1;VERRE FUZETEA 30CL            ;;100;0;0
2186;2186;2.33;0;2;both;1;VERRE ABSINTHE                ;;100;0;0
2187;2187;39.17;0;2;both;1;LOC 1 KIT DEMI-COTE ABRI FACIL;;100;0;0
2188;2188;8.33;0;2;both;1;LOCATION BANC BODEGA          ;;100;0;0
2189;2189;39.17;0;2;both;1;LOC 1 LEST FONTE 15KG PR TENTE;;100;0;0
2190;2190;2;-30;2;both;1;VERRE GUE DES MOINES 25CL     ;;100;0;0
2191;2191;43.75;0;2;both;1;VERRE PAULANER 3L             ;;100;0;0
2192;2192;2.5;360;2;both;1;VERRE KAPITTEL 33CL           ;;100;0;0
2194;2194;8.33;0;2;both;1;LOCATION MACHINE PERFECT DRAFT;;100;0;0
2196;2196;2.5;0;3;both;1;TERR JAMBON PERIG & TOMME 180G;;100;0;0
2197;2197;2.19;0;3;both;1;FRAIRINE CUISSE GRENOUILLE 90G;;100;0;0
2198;2198;12.5;0;2;both;1;LOCATION TABLE BODEGA         ;;100;0;0
2199;2199;2.5;0;3;both;1;TARTARE TRUITE MAGRET FUME 90G;;100;0;0
2200;2200;2.5;0;3;both;1;TARTARE HOMARD AUX ZESTES 90G ;;100;0;0
2201;2201;2.25;0;3;both;1;DELICE TOMATES SECHEES 90G    ;;100;0;0
2202;2202;2.25;0;3;both;1;TAPENADE OLIVES NOIRES 90G    ;;100;0;0
2203;2203;3.13;0;3;both;1;CROUSTIL'AIL & FINES HERB 100G;;100;0;0
2204;2204;903.45;-2;2;both;1;GROUPE FROID 2TBG 35L/BIER+EAU;;100;0;0
2205;2205;1142.5;0;2;both;1;GROUPE FROID 3TBG 1/2 CV      ;;100;0;0
2206;2206;38.95;0;2;both;1;ADAPTATEUR FUT BONDE S TETE A ;;100;0;0
2207;2207;80.3;0;2;both;1;ADAPTATEUR RINCAGE A          ;;100;0;0
2208;2208;80.3;0;2;both;1;ADAPTATEUR RINCAGE G          ;;100;0;0
2209;2209;129.13;-2;2;both;1;AGITATEUR EBM TÊTE ROTATIVE   ;;100;0;0
2210;2210;641.17;-2;2;both;1;COLONNE OCCASION              ;;100;0;0
2211;2211;1.09;-1;2;both;1;DESANAMAX                     ;;100;0;0
2212;2212;118.55;0;2;both;1;DETENDEUR PRINC.N²CO² 2SORTIES;;100;0;0
2213;2213;115.95;-1;2;both;1;DETENDEUR HP GAUCHE MALE 1/4  ;;100;0;0
2214;2214;76;0;2;both;1;DETENDEUR SECONDAIRE          ;;100;0;0
2215;2215;3027.36;0;2;both;1;FIESTA 200 CLASSIC DIRECT 1CV ;;100;0;0
2216;2216;1275.58;0;2;both;1;FIESTA 36 1T + COMPENS 1/4CV  ;;100;0;0
2217;2217;104.4;-3;2;both;1;FLEXIBLE HP 1,5 M - AVEC CABLE;;100;0;0
2218;2218;1.28;-3;2;both;1;JOINT TORIQUE FLEXIBLE HP     ;;100;0;0
2219;2219;20.9;0;2;both;1;KIT CONDENSATEURS PERF PLATINE;;100;0;0
2220;2220;1890;0;2;both;1;LAVE VERRES CLASSIC 35X35     ;;100;0;0
